Sheet,Carrier,CurrWeekDepartures,PrevWeekDepartures,DepartureDiff,DepartureDiffPct,Buses.x,Passengers,Buses 2019,Passenger 2019,Load_Factor,Avg_Temp_F,Min_Temp_F,Max_Temp_F,Precip_mm,Snow_mm,Avg_RH_Pct,Avg_Wind_mph,Peak_Gust_mph,Avg_Visibility_mi,Sunny_Hours,Severe_Weather_Flag,HDD_Base65,CDD_Base65,Storm_Count,Holiday_Week.x,Total_Volume,Passenger_Cars,Trucks,Buses.y,Avg_Speed_mph,Incidents,Weather_Impact_Index,Peak_Hour_Volume,Pct_Heavy_Vehicles,Pct_Buses,Holiday_Week.y,WeekStartDate
Jan 11-15,Martz,13,13,0,0,13,470,47,1771,36.15384615,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,NJ Transit,2078,2146,-68,-0.031686859,2078,26156,2500,86541,12.58710298,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,Lakeland,12,12,0,0,12,276,75,2819,23,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,Trailways,10,10,0,0,10,190,35,752,19,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,Coach USA,84,83,1,0.012048193,84,1611,460,14129,19.17857143,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,TransBridge,12,12,0,0,12,319,61,1843,26.58333333,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,Peter Pan/Bonanza,9,9,0,0,9,236,44,1048,26.22222222,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 11-15,HCEE - Community,86,75,11,0.146666667,86,1145,295,5504,13.31395349,36.4,28.4,43.2,6.2,4.2,74,14.1,20.1,9.2,20.7,0,200.2,0,0,0,112592,97281,13701,1610,34,2,0.63,12497,12.2,1.43,0,11/01/21
Jan 18-22,Academy,36,37,-1,-0.027027027,36,578,113,4152,16.05555556,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,Greyhound,34,32,2,0.0625,34,875,118,3262,25.73529412,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,Martz,13,13,0,0,13,470,47,1771,36.15384615,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,NJ Transit,2033,2078,-45,-0.021655438,2033,23777,2500,86541,11.69552386,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,Lakeland,12,12,0,0,12,268,75,2819,22.33333333,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,Trailways,10,10,0,0,10,194,35,752,19.4,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,Coach USA,84,84,0,0,84,1540,460,14129,18.33333333,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,TransBridge,12,12,0,0,12,331,61,1843,27.58333333,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,Peter Pan/Bonanza,9,9,0,0,9,257,44,1048,28.55555556,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
Jan 18-22,*HCEE - Community,76,86,-10,-0.11627907,76,1123,295,5504,14.77631579,35.4,28.1,42.8,0,5.1,55,9,22.9,7.5,49.5,0,207.2,0,0,0,108621,96868,10463,1290,37.3,1,0.57,10068,9.6,1.19,0,18/01/21
